Date;Type;Country;Injury
13-Jan-2018;Unprovoked;AUSTRALIA;No injury, shark took his swimfin
12-Jan-2018;Unprovoked;BRAZIL;Minor injury to left forearm
05-Jan-2018;Unprovoked;AUSTRALIA;Foot bitten
31-Dec-2017;Unprovoked;USA;Severe lacerations to left thigh & knee
30-Dec-2017;Unprovoked;USA;Foot bitten
21-Dec-2017;Provoked;MALAYSIA;Minor injury to thigh, PROVOKED INCIDENT
09-Dec-2017;Unprovoked;BAHAMAS;Minor injury to arm
30-Nov-2017;Unprovoked;COSTA RICA;Serious injury to leg
30-Nov-2017;Unprovoked;COSTA RICA;FATAL
Reported 25-Nov-2017;Sea Disaster;LIBYA;FATAL
24-Nov-2017;Unprovoked;USA;Right leg bitten
18-Nov-2017;Unprovoked;USA;Heel bitten
13-Nov-2017;Unprovoked;AUSTRALIA;Puncture wounds to left shoulder
04-Nov-2017;Unprovoked;CUBA;FATAL
Reported 31-Oct-2017;Unprovoked;AUSTRALIA;Calf injured
28-Oct-2017;Unprovoked;AUSTRALIA;Minor injury to foot
26-Oct-2017;Unprovoked;USA;No injury but shark bit SUP
23-Oct-2017;Unprovoked;MAURITIUS;Minor injury to foot
23-Oct-2017;Unprovoked;USA;Lacerations to left foot
23-Oct-2017;Unprovoked;USA;Severe lacerations to left hand & wrist
22-Oct-2017;Unprovoked;AUSTRALIA;Minor injuries
21-Oct-2017;Unprovoked;NEW ZEALAND;No injury, shark shook kayak x3 
18-Oct-2017;Unprovoked;USA;Puncture wounds & lacerations to foot
09-Oct-2017;Unprovoked;USA;Lacerations to left hand
05-Oct-2017;Unprovoked;USA;Abrasions
01-Oct-2017;Invalid;SOUTH AFRICA;FATAL
25-Sep-2017;Unprovoked;USA;Lacerations to lower left leg and foot
25-Sep-2017;Unprovoked;AUSTRALIA;No injury, board damaged by shark
24-Sep-2017;Invalid;USA;Lacerations to right ankle, foot & toe
24-Sep-2017;Unprovoked;USA;Laceration to upper arm
20-Sep-2017;Unprovoked;USA;Minor lacerations to sole of left foot
16-Sep-2017;Unprovoked;SPAIN;Lacerations to right foot
16-Sep-2017;Unprovoked;USA;Lacerations to left foot
15-Sep-2017;Invalid;SOUTH AFRICA;FATAL, but death was probably due to drowning
15-Sep-2017;;SAMOA;Injuries to hands and legs
Sep-2017;Boating;AUSTRALIA;sharks rammed boats, no injury to occupants
13-Sep-2017;Unprovoked;USA;Lacerations to left foot
10-Sep-2017;Unprovoked;AUSTRALIA;Minor injuries
10-Sep-2017;Unprovoked;AUSTRALIA;Minor lacerations to right hip
Reported 06-Sep-2017;Unprovoked;SOLOMON ISLANDS;Foot bitten
03-Sep-2017;Unprovoked;SOUTH AFRICA;FATAL
03-Sep-2017;Unprovoked;JAPAN;Injury to ankle & feet
02-Sep-2017;Unprovoked;USA;Lacerations to abdomen
02-Sep-2017;Unprovoked;USA;Lacerations to foot
02-Sep-2017;Unprovoked;USA;Minor injury to right hand
29-Aug-2017;Unprovoked;AUSTRALIA;No injury, board bitten
27-Aug-2017;Unprovoked;USA;Leg injured
26-Aug-2017;Invalid;SPAIN;Lacerations to left foot
26-Aug-2017;Unprovoked;NEW ZEALAND;No injury, shark bit canoe
23-Aug-2017;Unprovoked;USA;Not injured by shark but board bitten
18-Aug-2017;Unprovoked;BAHAMAS;Hand injured
10-Aug-2017;Unprovoked;USA;Minor cuts to sole & toes of left foot
05-Aug-2017;Unprovoked;EGYPT;Bite to right leg/hip
03-Aug-2017;Provoked;USA;Foot bitten by landed shark PROVOKED INCIDENT
01-Aug-2017;Boating;USA;No injury, bow of kayak bitten
31-Jul-2017;Unprovoked;USA;Lacerations to lower leg
29-Jul-2017;Invalid;USA;Abrasions and cuts to sole of foot
29-Jul-2017;Unprovoked;USA;Bite to left thigh / minor injury
27-Jul-2017;Unprovoked;BAHAMAS;Foot & ankle injured
Reported 26-Jul-2017;Unprovoked;BAHAMAS;Severe lacerations to left hand
24-Jul-2017;Unprovoked;ST HELENA, British overseas territory;Torso bitten
23-Jul-2017;Unprovoked;USA;Minor injury to hand
23-Jul-2017;Unprovoked;SPAIN;Abrasion to arm from shark's rough skin
22-Jul-2017;Unprovoked;USA;Foot bitten
20-Jul-2017;Invalid;USA;Foot injured
20-Jul-2017;Boating;USA;No injury, kayak bitten
20-Jul-2017;Unprovoked;USA;No injury, shark bit paddleboard
14-Jul-2017;Unprovoked;USA;Pulled off board by shark but no injury
14-Jul-2017;Unprovoked;AUSTRALIA;Minor injury, grazed by shark
11-Jul-2017;Boating;USA;No injury, kayak bitten
09-Jul-2017;Unprovoked;USA;Lower legs bitten
Reported 07-Jul-2017;Provoked;MEXICO;Hand bitten by hooked shark PROVOKED INCIDENT
07-Jul-2017;Unprovoked;SOUTH AFRICA;No injury, shark bit surfboard
02-Jul-2017;Invalid;COMOROS;Skull found in shark, a probable drowning & scavenging
29-Jun-2017;Invalid;USA;Arm injured by hook, not by a shark
21-Jun-2017;Unprovoked;USA;Left foot bitten
19-Jun-2017;Unprovoked;USA;1 to 2-inch laceration behind knee
18-Jun-2017;Unprovoked;USA;Leg bitten
18-Jun-2017;Unprovoked;REUNION;No injury, shark bit surfboard 
17-Jun-2017;Unprovoked;SPAIN;2-inch laceration to hand
2017.06.05;Unprovoked;FRENCH POLYNESIA;Injuries to hand and wrist
Reported 14-Jun-2017;Unprovoked;BAHAMAS;Fingernail pulled off 
11-Jun-2017;Unprovoked;AUSTRALIA;No injury, board bitten
10-Jun-2017;Unprovoked;AUSTRALIA;No injury, knocked off board
10-Jun-2017;Unprovoked;USA;Laceration to left foot
Reported 07-Jun-2017;Unprovoked;UNITED KINGDOM;Bruise to leg, cuts to hand sustained when he hit the shark
04-Jun-2017;Unprovoked;USA;Laceration to shin
02-Jun-2017;Unprovoked;BAHAMAS;Right forearm severed 
30-May-2017;Provoked;USA;Right hand bitten by hooked shark PROVOKED INCIDENT
28-May-2017;Unprovoked;USA;Lacerations to right arm
27-May-2017;Invalid;AUSTRALIA;Abrasion to right forearm from pectoral fin of a shark that leapt into his boat
12-May-2017;Unprovoked;UNITED ARAB EMIRATES;Right leg severely bitten
Reported 06-May-2017;Provoked;AUSTRALIA;Thigh nipped PROVOKED INCIDENT
05-May-2017;Unprovoked;MEXICO;FATAL
03-May-2017;Invalid;USA;Laceration to thigh, likely caused by surfboard fin
29-Apr-2017;Unprovoked;USA;Major injury to posterior thigh
29-Apr-2017;Unprovoked;SOUTH AFRICA;Minor injury to right calf
29-Apr-2017;Unprovoked;USA;Left foot bitten
29-Apr-2017;Unprovoked;REUNION;FATAL
27-Apr-2017;Unprovoked;NEW ZEALAND;Puncture wounds & laceration above knee
26-Apr-2017;Invalid;USA;Alleged laceration to left ankle
22-Apr-2017;Unprovoked;ST HELENA, British overseas territory;Calf & foot bitten
20-Apr-2017;Invalid;USA;Laceration & puncture wounds to left foot
17-Apr-2017;Unprovoked;USA;Minor bite to the foot
17-Apr-2017;Unprovoked;AUSTRALIA;FATAL
14-Apr-2017;Unprovoked;USA;Lower right leg severely injured
13-Apr-2017;Unprovoked;USA;Lacerations to right foot
12-Apr-2017;Unprovoked;USA;Lacerations to right foot
12-Apr-2017;Invalid;SOUTH AFRICA;Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.
11-Apr-2017;Unprovoked;USA;Calf bitten
10-Apr-2017;Unprovoked;USA;Laceration to calf
10-Apr-2017;Unprovoked;USA;Minor injury to left hand
06-Apr-2017;Unprovoked;USA;Foot injured
05-Apr-2017;Unprovoked;USA;Thigh nipped, minor injury
02-Apr-2017;Unprovoked;AUSTRALIA;No injury, shark bit off stern of kayak
02-Apr-2017;Unprovoked;USA;Lacerations to thighs
27-Mar-2017;Unprovoked;USA;Minor injury to left foot
19-Mar-2017;Unprovoked;AUSTRALIA;Minor
18-Mar-2017;Boating;USA;No injury, kayak bitten
11-Mar-2017;Unprovoked;PHILIPPINES;Right thigh injured 
Reported 09-Mar-2017;Unprovoked;BAHAMAS;Abrasions & lacerations to left leg and hand
25-Feb-2017;Unprovoked;AUSTRALIA;Hand bitten
24-Feb-2017;Unprovoked;AUSTRALIA;No injury, shark struck board
21-Feb-2017;Unprovoked;REUNION;Fatal
17-Feb-2017;Unprovoked;AUSTRALIA;Left leg severely bitten
11-Feb-2017;Unprovoked;USA;Injury to hand
06-Feb-2017;Provoked;BRAZIL;Minor injury to finger, PROVOKED INCIDENT
06-Feb-2017;Boating;SOUTH AFRICA;Shark damaged kayak, no injury to occupant
01-Feb-2017;Boating;USA;Shark bit boat, no injury to occupants
01-Feb-2017;Unprovoked;BAHAMAS;Lacerations to upper right arm
24-Jan-2017;Unprovoked;BRAZIL;Minor laceration to ring finger
22-Jan-2017;Unprovoked;USA;Puncture wounds to lower arm or hand
21-Jan-2017;Unprovoked;AUSTRALIA;Multiple injuries to arm, wrist and torso
13-Jan-2017;Unprovoked;AUSTRALIA;Injury to hand
13-Jan-2017;Unprovoked;USA;Minor injury to hand
09-Jan-2017;Unprovoked;INDONESIA;Injury to right wrist & forearm
Reported 08-Jan-2017;Invalid;AUSTRALIA;No attack, shark made a threat display
05-Jan-2017;Unprovoked;USA;Minor injuries to foot
03-Jan-2017;Invalid;AUSTRALIA;Minor injuries to foot & toes
27-Dec-2016;Unprovoked;USA;Lacerations to right forearm
24-Dec-2016;Unprovoked;AUSTRALIA;Buttock bitten
19-Dec-2016;Unprovoked;SOUTH AFRICA;No injury, but ski severely damaged
14-Dec-2016;Unprovoked;AUSTRALIA;Punctures to left foot/ankle
11-Dec-2016;Unprovoked;FRENCH POLYNESIA;Hand injured?
11-Dec-2016;Invalid;USA;Cuts to right ankle & foot
06-Dec-2016;Provoked;AUSTRALIA;Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT
01-Dec-2016;Unprovoked;AUSTRALIA;Injuries to foot & arm
28-Nov-2016;Provoked;AUSTRALIA;Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT
14-Nov-2016;Unprovoked;USA;Injuries to right calf and thigh
30-Oct-2016;Unprovoked;USA;Lacerations to right foot and ankle
29-Oct-2016;Unprovoked;USA;Lacerations to right hand
24-Oct-2016;Unprovoked;AUSTRALIA;Lacerations to left thigh
21-Oct-2016;Unprovoked;USA;Left arm and leg injured
15-Oct-2016;Unprovoked;AUSTRALIA;Torso nipped
14-Oct-2016;Unprovoked;USA;Injuries to left calf
13-Oct-2016;Invalid;MEXICO;Shark breached cage, no injury to diver
12-Oct-2016;Unprovoked;AUSTRALIA;Minor wound to lower right leg & surfboard bitten
10-Oct-2016;Unprovoked;USA;Wounds to upper thigh and lower leg
02-Oct-2016;Unprovoked;USA;Cuts to dorsal surface of left foot
01-Oct-2016;Unprovoked;USA;Minor injuries
26-Sep-2016;Unprovoked;AUSTRALIA;4 deep lacerations to thigh
18-Sep-2016;Unprovoked;USA;Minor injury to thigh
18-Sep-2016;Unprovoked;USA;Lacerations to hands
18-Sep-2016;Unprovoked;USA;Lacerations to lower leg
17-Sep-2016;Unprovoked;USA;No injury, board bitten
17-Sep-2016;Unprovoked;AUSTRALIA;Struck by fin on chest & leg
16-Sep-2016;Unprovoked;AUSTRALIA;No injury: Knocked off board by shark
15-Sep-2016;Boating;AUSTRALIA;Shark rammed boat. No injury to occupant
11-Sep-2016;Unprovoked;USA;Minor injury to arm
07-Sep-2016;Unprovoked;USA;Severe lacerations to shoulder & forearm
06-Sep-2016;Unprovoked;NEW CALEDONIA;FATAL
05-Sep-2016;Unprovoked;USA;Lacerations & punctures to lower right leg
05-Sep-2016;Unprovoked;AUSTRALIA;No inury, board broken in half by shark
04-Sep-2016;Unprovoked;USA;Foot bitten
01-Sep-2016;Unprovoked;USA;Two toes broken & lacerated
Sep-2016;Invalid;MEXICO;No injury to divers, white shark breached cage
29-Aug-2016;Unprovoked;USA;Lacerations to right foot
29-Aug-2016;Unprovoked;USA;Minor injury to ankle
27-Aug-2016;Unprovoked;REUNION;Right arm severed, ankle severely bitten 
25-Aug-2016;Unprovoked;USA;Minor injury to ankle
07-Aug-2016;Unprovoked;BAHAMAS;Lacerations to left leg
06-Aug-2016;Unprovoked;USA;No inury, shark & board collided
04-Aug-2016;Unprovoked;USA;Big toe bitten
29-Jul-2016;Unprovoked;SPAIN;Lacerations to right hand
28-Jul-2016;Unprovoked;CHINA;Lacerations to leg
28-Jul-2016;Boating;AUSTRALIA;No injury, shark nudged kayak repeatedly
27-Jul-2016;Provoked;USA;Laceration to left forearm PROVOKED INCIDENT
26-Jul-2016;Unprovoked;AUSTRALIA;No injury. Leg rope severed, knocked off board by shark
24-Jul-2016;Unprovoked;JAPAN;Lacerations to left leg
23-Jul-2016;Unprovoked;AUSTRALIA;Calf bumped but no injury
23-Jul-2016;Unprovoked;BAHAMAS;Lacerations to face and right leg
20-Jul-2016;Provoked;AUSTRALIA;Laceration to left calf from hooked shark PROVOKED INCIDENT
17-Jul-2016;Boating;USA;No injury, shark bit trolling motor
16-Jul-2016;Unprovoked;USA;Minor injury to leg
16-Jul-2016;Unprovoked;USA;Minor injury to toes
15-Jul-2016;Unprovoked;USA;No injury, board damaged
15-Jul-2016;Unprovoked;USA;Puncture wounds to foot
Reported  14-Jul-2016;Unprovoked;BAHAMAS;Face bruised when partly blind shark collided with him
Reported 08-Jul-2016;Unprovoked;SPAIN;5 tiny puncture marks to lower leg, treated with hydrogen peroxide
08-Jul-2016;Boating;USA;No injury. Hull bitten, tooth fragment recovered
07-Jul-2016;Provoked;USA;Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT
07-Jul-2016;Boating;USA;No injury. Hull bitten, tooth fragment recovered
06-Jul-2016;Unprovoked;USA;Buttocks, thigh, left hand & wrist injured
04-Jul-2016;Provoked;AUSTRALIA;Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT
27-Jun-2016;Unprovoked;USA;Minor injury
25-Jun-2016;Unprovoked;USA;Foot injured
24-Jun-2016;Unprovoked;COLUMBIA;Severe bite to right hand
23-Jun-2016;Unprovoked;SOUTH AFRICA;Injuries to left leg & right hand
21-Jun-2016;Unprovoked;USA;Lacerations and punctures to foot
21-Jun-2016;Unprovoked;USA;Injuries to right calf
15-Jun-2016;Unprovoked;USA;Single puncture wound to arm
15-Jun-2016;Provoked;AUSTRALIA;No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT
14-Jun-2016;Unprovoked;USA;Injury to lower leg
11-Jun-2016;Unprovoked;USA;Laceration to wrist
07-Jun-2016;Invalid;USA;No injury, board damaged
05-Jun-2016;Unprovoked;USA;Leg bitten
05-Jun-2016;Unprovoked;AUSTRALIA;FATAL
04-Jun-2016;Unprovoked;EGYPT;Leg severely bitten, surgically amputated
02-Jun-2016;Unprovoked;AUSTRALIA;No injury, but sharks repeatedly hit their fins and guns
02-Jun-2016;Unprovoked;NEW CALEDONIA;Laceration to heel
31-May-2016;Unprovoked;AUSTRALIA;FATAL
29-May-2016;Unprovoked;USA;Injuries to arm and shoulder
29-May-2016;Unprovoked;USA;Injury to posterior right leg
22-May-2016;Unprovoked;USA;Puncture wounds to thigh
21-May-2016;Unprovoked;USA;Lacerations and puncture wounds to foot and ankle
21-May-2016;Unprovoked;USA;Back, arm & hand injured
18-May-2016;Unprovoked;USA;Ankle bitten
15-May-2016;Provoked;USA;Arm grabbed PROVOKED INCIDENT
03-May-2016;Unprovoked;USA;Minor lacerations to right shoulder
02-May-2016;Provoked;NEW ZEALAND;Foot bitten by landed shark PROVOKED INCIDENT
25-Apr-2016;Unprovoked;INDONESIA;Elbow bitten
23-Apr-2016;Unprovoked;USA;Minor injury to left foot
22-Apr-2016;Unprovoked;SOUTH AFRICA;No injury, surf-ski bitten
19-Apr-2016;Unprovoked;AUSTRALIA;Minor puncture wound to foot
18-Apr-2016;Provoked;FRENCH POLYNESIA;Laceration to knee by speared shark PROVOKED INCIDENT
18-Apr-2016;Provoked;FRENCH POLYNESIA;Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT
13-Apr-2016;Unprovoked;USA;Multiple bites to right arm
09-Apr-2016;Unprovoked;NEW CALEDONIA;FATAL
08-Apr-2016;Invalid;CAPE VERDE;"""Serious"""
07-Apr-2016;Unprovoked;USA;Left hand bitten
07-Apr-2016;Invalid;USA;Fell off board when spinner shark leapt from the water next to him. No injury to surfer
31-Mar-2016;Unprovoked;USA;Minor injury to left foot
30-Mar-2016;Unprovoked;AUSTRALIA;Severe injury to thigh
28-Mar-2016;Unprovoked;USA;Minor injury to arm. Possibly caused by smalll nurse shark
28-Mar-2016;Unprovoked;AUSTRALIA;No injury, board dented
26-Mar-2016;Provoked;BAHAMAS;Minor injury to chest PROVOKED INCIDENT
13-Mar-2016;Invalid;USA;Board reportedly bumped by shark. No injury
11-Mar-2016;Unprovoked;USA;Lacerations to right foot and ankle
10-Mar-2016;Unprovoked;Fiji;FATAL
04-Mar-2016;Unprovoked;USA;Superficial injury to foot
Reported 03-Mar-2016;Unprovoked;AUSTRALIA;Puncture wounds to right calf
02-Mar-2016;Unprovoked;BRAZIL;Minor injury to head
22-Feb-2016;Unprovoked;NEW CALEDONIA;Puncture wounds to right thigh
 19-Feb-2016;Unprovoked;NEW CALEDONIA;Forearm bitten
12-Feb-2016;Unprovoked;DOMINICAN REPUBLIC;Avulsion injury to lower leg
Reported 10-Feb-2016;Invalid;CAYMAN ISLANDS;Minor injury to wrist from Southern stingray
10-Feb-2016;Invalid;AUSTRALIA;No injury, knocked off board
05-Feb-2016;Unprovoked;AUSTRALIA;Foot nipped
04-Feb-2016;Unprovoked;AUSTRALIA;No injury, shark bit board
02-Feb-2016;Unprovoked;BRAZIL;Lacerations to scalp
29-Jan-2016;Boating;SOUTH AFRICA;No injury, shark capsized kayak
28-Jan-2016;Unprovoked;USA;Lacerations to both hands
25-Jan-2016;Unprovoked;USA;No injury
24-Jan-2016;Unprovoked;USA;Bruised ribs & tail bone, speargun broken and wetsuit cut
24-Jan-2016;Boating;UNITED ARAB EMIRATES;No injury to occupants, shark leapt into boat
23-Jan-2016;Unprovoked;USA;No injury
Reported 11-Jan-2016;Unprovoked;AUSTRALIA;Laceration to right foot
05-Jan-2016;Unprovoked;AUSTRALIA;Laceration to right calf
02-Jan-2016;Unprovoked;AUSTRALIA;Lacerations to arms & leg
26-Dec-2015;Boating;SOUTH AFRICA;No injury, kayak damaged
25-Dec-2015;Unprovoked;SPAIN;Lacerations to left forearm
22-Dec-2015;Unprovoked;USA;No injury, shark bit board
21-Dec-2015;Unprovoked;AUSTRALIA;No injury, shark leapt on surfboard
21-Dec-2015;Unprovoked;BRAZIL;Right hand & part of forearm removed
19-Dec-2015;Unprovoked;ARUBA;FATAL
13-Dec-2015;Boating;AUSTRALIA;No injury, shark rammed boat & bit motor
11-Dec-2015;Unprovoked;BAHAMAS;Bitten on thigh, abdomen & hand
08-Dec-2015;Unprovoked;SOUTH AFRICA;Lacerations to both hands and forearms
20-Nov-2015;Unprovoked;ECUADOR;Lacerations to left calf
16-Nov-2015;Unprovoked;USA;Right heel injured
15-Nov-2015;Unprovoked;USA;Leg injured
15-Nov-2015;Unprovoked;USA;Lacerations to hand
10-Nov-2015;Unprovoked;AUSTRALIA;Injury to left thigh
07-Nov-2015;Invalid;USA;Lower left leg injured
03-Nov-2015;Unprovoked;USA;Laceration to right ankle
01-Nov-2015;Unprovoked;USA;Injury to right ankle/calf & hand
01-Nov-2015;Unprovoked;MOZAMBIQUE;Arms severely injured, surgically amputated
30-Oct-2015;Unprovoked;AUSTRALIA;Minor injury
28-Oct-2015;Unprovoked;USA;Lacerations & puncture wounds to right thigh, calf & ankle
25-Oct-2015;Unprovoked;SOUTH AFRICA;Lacerations to right calf, knee & hip
21-Oct-2015;Unprovoked;USA;Lacerations to left hand
19-Oct-2015;Unprovoked;USA;Left foot bitten
17-Oct-2015;Unprovoked;MOZAMBIQUE;FATAL
17-Oct-2015;Invalid;USA;Left foot bitten by eel
17-Oct-2015;Unprovoked;USA;Severe injuries to lower legs. Foot later surgically amputated.
13-Oct-2015;Boating;USA;No injury, shark rammed kayak repeatedly
09-Oct-2015;Unprovoked;USA;Laceration to forearm
09-Oct-2015;Unprovoked;USA;Left leg severed below the knee, defense injuries to left hand
08-Oct-2015;Unprovoked;MOZAMBIQUE;Arm severely injured, surgically amputated
07-Oct-2015;Unprovoked;AUSTRALIA;Foot injured
05-Oct-2015;Unprovoked;USA;2 lacerations to ankle
05-Oct-2015;Unprovoked;USA;Foot & hands bitten
04-Oct-2015;Unprovoked;USA;Severe lacerations to left hand
29-Sep-2015;Unprovoked;USA;Laceration to heel, puncture wounds to dorsum of foot
26-Sep-2015;Unprovoked;AUSTRALIA;Laceration to leg
24-Sep-2015;Boating;USA;No injury, kayak damaged
20-Sep-2015;Unprovoked;USA;Minor injury to left ankle
20-Sep-2015;Unprovoked;USA;Severe laceration to left leg
20-Sep-2015;Unprovoked;USA;Significant injuries to leg
20-Sep-2015;Unprovoked;USA;Injury to right hand / wrist
19-Sep-2015;Boating;USA;No injury
18-Sep-2015;Unprovoked;USA;Lacerations to calf
17-Sep-2015;Unprovoked;USA;Injury to right foot
08-Sep-2015;Unprovoked;AUSTRALIA;Minor laceration to hand
06-Sep-2015;Unprovoked;USA;No injury, shark struck board, tossing her into the sea
05-Sep-2015;Provoked;USA;Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT
04-Sep-2015;Unprovoked;AUSTRALIA;Inuries to lower left leg & ankle
03-Sep-2015;Unprovoked;USA;Right foot bitten
01-Sep-2015;Unprovoked;THAILAND;Left foot & ankle bitten
Sep-2015;Unprovoked;FIJI;Leg bitten
29-Aug-2015;Unprovoked;USA;No injury, surfboard bitten
29-Aug-2015;Unprovoked;USA;No injury, shark struk sufer's leg and his board
22-Aug-2015;Invalid;USA;Wound to right lower leg
22-Aug-2015;Unprovoked;AUSTRALIA;Severe laceration to left buttock & thigh
20-Aug-2015;Unprovoked;USA;Injuries to left calf, arm and hand
19-Aug-2015;Unprovoked;USA;Lacerations to right leg
18-Aug-2015;Boating;USA;No injury, kayak bitten
18-Aug-2015;Invalid;SPAIN;Minor injury when he attempted to touch a fish. 
10-Aug-2015;Provoked;USA;Right hand bitten  PROVOKED INCIDENT
31-Jul-2015;Unprovoked;AUSTRALIA;Lacerations and puncture wounds to hip, thigh, arm and hand
28-Jul-2015;Unprovoked;COSTA RICA;Minor inuries to toes
27-Jul-2015;;AUSTRALIA;Injury to hand
26-Jul-2015;Unprovoked;USA;Minor injury to sole of foot
26-Jul-2015;Invalid;USA;2' cut to dorsum of foot, 2 puncture wounds to sole
25-Jul-2015;Unprovoked;AUSTRALIA;FATAL
23-Jul-2015;Provoked;USA;No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT
23-Jul-2015;Unprovoked;AUSTRALIA;Left hand bitten
22-Jul-2015;Unprovoked;REUNION;Arm bitten
19-Jul-2015;Unprovoked;SOUTH AFRICA;No injury
10-Jul-2015;Unprovoked;USA;No injury, shark bumped & damaged board
08-Jul-2015;Invalid;USA;Laceration to back
06-Jul-2015;Invalid;FRENCH POLYNESIA;Parallel lacerations to torso inconsistent with shark bite
04-Jul-2015;Unprovoked;BAHAMAS;Lacerations to lower leg & ankle
04-Jul-2015;Unprovoked;USA;Lacerations to right hand & forearm
03-Jul-2015;Unprovoked;AUSTRALIA;No injury, shark bit surfboard
02-Jul-2015;Unprovoked;AUSTRALIA;Significant injuries to lower legs
01-Jul-2015;Unprovoked;USA;Injuries to torso, hip, lower leg & hands
30-Jun-2015;Unprovoked;AUSTRALIA;Hand bitten
30-Jun-2015;Unprovoked;USA;Shallow lacerations & puncture to lateral left leg
27-Jun-2015;Unprovoked;USA;Injuries to right calf, buttock and both hands
27-Jun-2015;Unprovoked;SOUTH AFRICA;Right leg severed, multiple lacerations to left leg
26-Jun-2015;Invalid;USA;Minor lacerations to leg
26-Jun-2015;Unprovoked;SOUTH AFRICA;Multiple lacerations to torso & leg
